time,cov,total_execs
0.10,251,1
0.20,263,2
0.38,286,5
0.49,302,6
0.59,305,8
0.70,306,10
0.77,311,11
0.93,312,15
1.00,313,16
1.09,315,18
1.25,332,23
1.34,334,25
1.47,338,29
1.53,339,30
1.67,340,34
1.74,341,35
2.06,342,44
2.18,345,47
2.38,346,53
2.49,347,56
2.60,352,58
2.68,377,59
2.96,379,66
3.20,380,72
3.29,381,73
3.42,393,75
3.66,395,81
3.75,396,82
3.85,414,84
4.25,415,97
4.33,416,98
5.00,418,119
5.65,419,140
5.71,420,141
6.18,421,155
7.21,421,187
7.71,422,202
8.17,423,215
8.36,425,220
8.66,429,228
8.89,449,234
9.94,449,260
10.11,451,263
10.45,452,273
10.71,454,282
11.36,456,302
12.09,457,324
12.26,512,326
12.55,513,331
13.60,513,363
14.64,513,396
14.84,516,400
15.90,516,434
16.22,517,442
16.88,518,461
17.26,519,472
18.30,520,502
18.44,521,505
19.15,533,525
20.21,533,556
21.27,533,588
21.96,534,609
22.25,543,617
22.48,549,623
22.71,551,629
23.77,551,660
24.83,551,692
25.87,551,727
26.93,551,759
27.37,552,770
27.48,553,772
28.36,554,797
28.43,555,798
28.70,556,805
29.77,556,837
30.81,556,867
31.48,558,885
32.52,558,916
33.03,561,929
33.29,562,935
33.84,567,949
34.25,569,960
35.28,569,998
36.32,569,1032
37.37,569,1067
37.72,570,1077
38.25,571,1091
39.31,571,1122
39.85,573,1137
40.93,574,1170
41.08,580,1174
42.13,580,1209
43.20,580,1240
44.27,580,1271
45.33,580,1303
45.86,584,1321
46.92,584,1351
47.00,585,1352
48.06,585,1383
49.10,585,1417
49.70,586,1436
50.74,586,1470
50.98,588,1476
52.01,588,1507
52.27,594,1514
53.22,595,1544
53.47,606,1551
54.08,607,1571
55.13,607,1609
56.20,607,1640
56.99,608,1664
58.04,608,1698
58.63,609,1716
59.68,609,1750
60.73,609,1785
60.97,610,1791
62.00,610,1824
63.02,611,1855
64.08,611,1889
64.22,617,1891
65.28,617,1926
66.32,617,1964
67.35,617,2001
68.41,617,2034
69.46,617,2072
70.50,617,2108
71.53,617,2142
72.56,617,2175
73.61,617,2209
74.67,617,2243
75.69,621,2274
76.74,621,2303
77.42,623,2322
78.48,623,2353
79.53,623,2384
80.57,623,2417
81.61,623,2449
82.43,624,2476
83.29,625,2502
84.33,626,2537
85.37,626,2568
85.92,637,2583
86.97,637,2615
88.03,637,2651
88.96,638,2681
89.04,639,2682
89.73,642,2701
90.76,642,2733
91.84,642,2766
92.02,646,2770
92.52,661,2785
93.58,661,2818
94.31,662,2840
95.34,662,2871
96.40,662,2907
97.43,662,2940
98.33,663,2968
99.39,663,3001
