time,cov,total_execs
2.75,110,1
2.83,216,2
2.91,225,3
3.00,229,5
3.12,241,8
3.21,242,9
3.30,243,10
3.38,335,11
3.44,337,12
3.51,345,13
3.63,363,16
3.71,429,18
3.79,475,20
3.87,476,21
3.94,477,22
4.00,478,23
4.06,489,24
4.21,490,27
4.29,493,28
4.39,494,30
4.51,497,33
4.62,506,36
4.70,513,38
4.76,514,39
4.83,515,40
4.93,519,42
5.14,521,48
5.22,523,50
5.31,540,52
5.39,541,54
5.46,556,56
5.53,557,57
5.70,558,62
5.91,565,69
5.97,576,70
6.04,578,71
6.13,579,73
6.29,580,78
6.55,583,86
6.63,586,87
6.77,587,90
7.20,589,105
7.37,590,111
7.44,591,112
7.55,596,115
7.81,598,123
7.90,601,124
8.16,610,134
9.21,610,171
9.35,611,173
9.75,612,187
10.09,613,198
10.52,623,217
10.65,625,221
11.12,626,239
12.16,626,278
12.37,630,283
13.06,632,310
13.58,634,328
14.04,635,347
14.62,636,367
15.67,636,411
16.12,637,427
17.18,637,470
18.24,637,511
18.58,638,522
19.62,638,561
20.68,638,603
21.73,638,646
22.65,639,683
23.71,639,723
24.74,639,764
25.79,639,810
26.84,639,851
27.89,639,889
28.57,640,916
29.61,640,956
29.98,641,968
30.57,642,989
31.61,642,1030
31.79,643,1035
32.84,643,1074
33.49,645,1095
34.14,647,1119
35.20,647,1170
36.25,647,1213
37.01,734,1245
38.06,735,1286
39.10,735,1326
40.14,735,1368
41.17,735,1410
42.21,735,1457
43.26,735,1494
44.30,735,1535
45.33,735,1577
46.36,735,1617
47.41,735,1660
48.04,737,1683
49.08,737,1726
50.12,737,1768
51.17,737,1810
52.25,738,1854
53.28,738,1897
54.19,828,1937
55.24,828,1981
55.71,833,1997
56.57,834,2030
57.63,834,2074
58.58,835,2113
59.62,844,2155
60.66,844,2197
61.71,844,2241
62.77,844,2283
63.82,844,2326
64.86,844,2365
65.89,844,2410
66.94,844,2455
67.27,845,2467
68.32,845,2509
69.22,846,2546
70.26,846,2589
71.31,846,2634
72.36,846,2677
73.41,846,2718
74.47,846,2759
75.52,846,2801
75.76,847,2809
76.82,847,2846
77.85,847,2885
78.90,847,2926
79.94,847,2965
80.99,847,3008
82.03,847,3052
82.48,848,3070
83.52,848,3113
84.57,848,3158
85.61,848,3197
86.66,848,3239
87.70,848,3284
88.75,848,3327
89.79,848,3367
90.85,848,3410
91.88,848,3452
92.91,848,3496
93.96,848,3536
94.99,848,3579
96.05,848,3622
96.65,849,3645
97.69,849,3687
98.53,850,3719
99.58,850,3763
