time,cov,total_execs
0.18,212,1
0.33,247,2
0.45,248,3
0.56,611,4
0.67,613,5
0.76,618,6
1.01,626,10
1.11,662,11
1.29,665,14
1.47,666,17
1.56,667,18
1.72,668,20
1.90,670,22
2.61,673,34
2.81,675,36
3.56,676,46
4.18,677,56
4.32,683,57
5.28,684,72
6.01,691,84
6.53,695,92
7.59,695,108
8.31,698,118
9.01,706,128
9.52,707,131
10.38,708,143
11.36,714,159
12.42,714,173
13.48,714,189
14.22,719,200
14.95,724,210
15.06,725,211
15.18,726,212
15.82,728,221
16.85,728,236
17.89,728,251
18.93,728,266
19.50,762,273
20.57,762,289
21.62,762,305
21.99,763,310
23.05,763,326
23.50,764,332
23.71,765,334
24.21,766,341
24.70,767,348
25.79,767,366
26.76,861,380
27.86,861,395
28.90,861,411
29.99,861,426
31.08,861,441
31.53,862,447
32.57,862,461
33.62,862,475
34.71,862,492
34.91,883,495
35.07,895,497
35.17,898,498
35.33,908,500
36.38,908,516
37.42,908,533
38.53,908,549
39.56,908,564
40.39,909,576
41.46,909,593
41.61,910,595
42.69,910,611
43.64,933,621
44.18,936,628
45.23,936,643
45.33,937,644
45.98,957,648
47.02,957,663
48.05,957,677
48.71,958,687
49.74,958,703
50.82,958,719
51.07,965,722
52.12,965,738
52.70,966,747
53.36,967,757
53.47,977,758
53.71,979,761
53.93,980,764
54.96,981,781
55.17,986,783
55.40,994,785
56.49,994,801
56.68,997,803
57.73,997,817
58.59,998,830
58.70,1001,831
59.76,1001,847
60.13,1002,852
60.82,1005,862
61.22,1009,868
61.45,1012,871
62.50,1012,886
62.61,1016,887
62.97,1018,892
64.04,1018,906
64.41,1019,910
64.85,1022,916
65.92,1024,933
67.00,1024,951
67.23,1025,954
67.75,1026,961
68.23,1027,967
68.83,1031,976
69.52,1032,986
69.89,1033,991
70.92,1033,1007
71.23,1034,1011
72.07,1035,1023
73.14,1035,1039
73.31,1036,1041
73.44,1037,1042
74.29,1042,1054
74.85,1046,1057
75.35,1048,1058
76.44,1048,1074
76.76,1053,1077
77.81,1054,1092
78.41,1055,1100
79.48,1055,1115
80.14,1058,1124
80.63,1064,1131
81.69,1064,1146
82.79,1064,1164
83.37,1065,1172
84.47,1065,1190
85.52,1065,1205
85.87,1067,1209
86.09,1068,1212
87.18,1068,1228
87.41,1069,1231
87.91,1070,1239
88.83,1074,1253
89.88,1074,1268
90.95,1074,1282
91.98,1074,1297
92.82,1075,1310
93.47,1077,1319
94.50,1077,1335
95.13,1080,1341
96.20,1080,1355
97.27,1080,1371
97.85,1081,1379
98.48,1084,1388
98.90,1085,1393
99.98,1085,1410
