time,cov,total_execs
0.37,209,1
0.43,211,2
0.49,341,3
0.55,344,4
0.62,367,5
0.69,385,7
0.75,404,8
0.81,417,9
0.87,418,10
0.92,441,11
0.98,523,12
1.03,524,13
1.08,525,14
1.19,559,18
1.26,566,20
1.33,569,21
1.39,571,22
1.53,574,25
1.61,582,27
1.68,585,28
1.82,588,33
1.95,590,37
2.02,624,39
2.11,626,41
2.18,628,42
2.63,631,59
2.73,633,61
2.79,634,62
2.89,640,64
2.97,641,65
3.09,642,67
3.16,646,68
3.23,647,69
3.32,681,71
3.42,684,73
3.49,685,74
3.55,686,75
3.66,695,78
3.81,704,83
3.87,705,84
3.98,711,86
4.36,715,100
4.42,721,101
4.66,742,111
4.81,744,115
4.96,745,119
5.04,746,121
5.33,749,134
5.64,750,145
5.84,751,152
6.02,754,158
6.14,756,161
6.29,761,165
6.39,762,167
6.50,765,169
7.11,766,193
7.53,767,210
7.61,780,211
8.66,780,256
8.78,781,258
9.17,784,266
9.37,787,272
9.47,790,274
9.56,791,275
9.65,792,276
9.73,813,277
10.10,814,292
10.18,815,294
10.46,816,306
10.81,817,320
10.91,818,322
11.42,819,341
11.60,821,347
12.18,822,365
12.35,823,372
13.04,824,398
14.08,825,440
14.29,842,446
14.40,843,448
14.98,844,472
15.34,845,486
15.66,902,496
15.80,1067,499
15.94,1068,503
16.30,1069,516
16.40,1070,518
17.36,1071,554
17.46,1077,556
17.97,1078,577
19.01,1078,617
20.06,1079,660
20.36,1080,670
20.56,1081,677
20.68,1082,679
21.23,1083,701
21.30,1084,702
21.65,1085,715
21.79,1087,719
22.36,1088,742
22.50,1089,745
22.98,1090,763
23.74,1092,791
24.12,1093,805
24.37,1095,813
24.93,1096,838
25.83,1097,875
26.89,1097,916
27.95,1097,958
28.03,1101,960
28.45,1107,977
29.08,1108,1001
29.47,1110,1013
30.52,1110,1054
31.12,1111,1076
32.17,1111,1118
32.71,1127,1137
33.01,1129,1146
33.11,1130,1148
34.12,1131,1187
35.14,1131,1238
36.19,1131,1283
36.77,1132,1307
37.38,1136,1332
38.45,1136,1375
39.51,1136,1417
40.57,1136,1461
41.25,1137,1492
42.30,1137,1537
43.37,1137,1576
44.41,1137,1620
45.45,1137,1665
46.48,1137,1704
47.53,1137,1745
47.92,1153,1761
48.03,1155,1763
48.23,1156,1769
48.49,1157,1779
49.55,1157,1824
50.60,1157,1866
51.64,1157,1908
52.27,1167,1934
53.30,1167,1979
53.80,1168,2000
54.84,1168,2046
55.89,1168,2086
56.94,1168,2130
57.98,1168,2174
59.00,1168,2220
59.57,1170,2242
60.60,1170,2285
60.81,1172,2292
60.99,1173,2299
61.28,1174,2309
61.83,1176,2328
62.66,1177,2363
63.56,1178,2400
63.73,1179,2404
64.77,1180,2444
65.60,1181,2479
65.71,1182,2482
66.72,1183,2526
67.75,1183,2570
67.94,1184,2575
68.01,1193,2576
68.80,1194,2609
69.84,1194,2654
70.81,1196,2695
71.85,1196,2739
72.82,1197,2778
72.97,1198,2782
74.02,1198,2825
75.07,1198,2867
76.12,1198,2911
77.18,1198,2950
78.22,1198,2992
79.27,1198,3033
80.31,1198,3076
81.36,1198,3119
82.40,1198,3166
83.43,1198,3210
84.48,1198,3256
85.17,1199,3282
86.21,1199,3324
86.66,1200,3341
87.71,1200,3388
88.76,1200,3433
88.97,1201,3439
89.26,1202,3449
90.30,1202,3493
91.35,1202,3536
92.39,1202,3580
93.25,1203,3615
94.33,1204,3662
95.03,1205,3688
95.19,1206,3693
96.23,1206,3737
97.28,1206,3780
98.32,1206,3824
99.36,1206,3870
