time,cov,total_execs
0.14,396,1
0.26,433,2
0.38,436,3
0.48,439,4
0.71,442,9
0.78,443,10
0.88,446,12
1.05,451,16
1.19,452,19
1.26,453,20
2.08,454,44
2.50,455,55
2.63,459,57
2.75,460,59
3.79,460,83
4.25,462,95
4.84,463,109
5.19,464,117
5.33,465,119
5.73,466,130
6.80,466,156
7.85,466,182
8.32,468,193
8.74,470,202
9.79,470,222
10.07,475,227
10.80,476,247
11.60,477,266
12.66,477,290
13.73,477,315
14.64,478,336
15.16,479,349
16.22,479,374
16.67,485,383
17.74,485,407
18.54,488,426
19.60,488,450
20.50,489,471
21.57,489,497
22.61,489,523
23.68,491,547
24.74,491,572
25.79,491,601
25.89,492,602
26.62,493,619
27.69,493,642
28.73,493,667
29.79,493,691
30.86,493,715
31.23,496,722
31.48,498,727
32.39,499,747
33.45,499,770
34.51,499,794
34.90,500,804
35.93,500,832
36.28,506,839
37.34,506,867
38.38,506,892
39.44,506,916
40.49,506,942
41.33,511,962
41.47,512,965
42.04,513,980
43.11,513,1003
43.40,521,1008
43.79,525,1016
44.86,525,1042
45.94,525,1069
46.99,525,1093
48.04,525,1117
49.09,525,1144
50.13,525,1170
51.16,525,1195
52.23,525,1221
53.12,526,1243
53.67,527,1257
54.53,528,1280
54.94,539,1290
56.00,539,1314
56.26,543,1319
57.30,543,1344
58.34,543,1370
59.38,543,1397
60.44,543,1422
60.70,545,1427
61.02,549,1434
62.09,549,1460
63.14,549,1486
64.02,553,1508
65.08,553,1532
65.31,556,1537
65.49,557,1541
66.54,557,1569
67.59,557,1596
68.63,557,1621
68.70,558,1622
69.76,558,1649
70.82,558,1676
71.87,558,1702
72.90,558,1727
73.96,558,1752
74.84,564,1772
75.87,564,1798
76.91,564,1820
77.95,564,1844
79.00,564,1868
80.04,564,1892
81.10,564,1918
81.81,565,1935
82.59,566,1956
83.62,566,1982
84.66,566,2010
85.73,566,2035
86.77,566,2060
87.83,566,2088
88.88,566,2114
89.95,566,2139
90.21,567,2144
91.26,567,2171
92.29,567,2198
93.37,567,2224
94.42,567,2251
95.46,567,2276
96.49,567,2301
97.53,567,2327
98.58,567,2354
99.65,567,2382
