time,cov,total_execs
0.21,665,1
0.33,667,2
0.43,671,4
0.55,672,7
0.65,673,9
0.73,675,11
0.85,678,15
0.92,757,16
0.98,759,17
1.04,760,18
1.21,761,24
1.29,769,26
1.47,772,33
1.54,781,34
1.79,782,41
2.04,783,49
2.13,785,51
2.24,786,54
2.30,788,55
2.37,789,56
2.49,790,59
2.93,791,72
3.06,792,75
3.53,795,90
3.78,800,99
4.04,801,107
4.45,803,119
4.76,805,130
4.82,806,131
5.86,806,170
6.24,808,182
7.29,808,218
8.34,808,256
8.50,809,260
8.93,810,274
9.09,812,276
10.16,812,307
10.31,813,311
10.39,815,313
11.42,815,350
11.63,816,356
12.64,818,388
13.06,819,401
13.43,820,411
13.57,833,414
14.60,833,449
14.96,834,461
15.10,835,464
15.36,836,472
16.42,836,507
17.47,836,540
17.92,837,554
18.00,838,555
19.07,839,590
20.11,839,624
21.16,839,658
22.19,839,695
23.25,839,730
24.02,840,753
25.06,840,788
25.76,845,812
26.81,845,847
26.93,846,849
27.16,850,854
28.21,850,889
28.53,856,899
29.42,857,929
29.65,865,934
30.71,865,968
31.77,865,1003
32.09,866,1011
32.22,867,1013
33.17,868,1042
33.48,869,1050
34.53,869,1087
34.81,875,1096
35.85,875,1138
36.88,875,1173
37.94,875,1209
39.00,875,1243
40.06,875,1278
40.18,876,1281
41.22,876,1319
42.28,876,1357
42.74,878,1370
43.81,878,1403
44.85,878,1438
45.90,878,1477
46.88,879,1508
47.45,880,1526
48.26,881,1551
49.32,881,1586
50.36,881,1622
50.72,882,1633
51.77,882,1670
52.83,882,1707
53.89,882,1746
54.94,882,1786
56.00,882,1819
57.04,882,1855
58.09,882,1892
58.87,883,1921
59.18,886,1929
60.22,886,1965
61.27,886,2002
61.80,887,2019
62.87,887,2053
63.92,887,2088
64.96,887,2122
66.01,887,2159
66.33,888,2171
67.37,888,2208
68.41,888,2244
69.44,888,2283
70.49,888,2320
71.54,888,2357
72.59,888,2396
73.65,888,2431
74.69,888,2468
75.75,888,2505
76.81,888,2537
77.87,888,2570
78.90,888,2603
79.93,888,2638
80.23,889,2647
81.26,889,2684
82.31,889,2721
83.35,889,2757
84.39,889,2796
85.44,889,2830
85.80,890,2841
86.85,890,2877
87.90,890,2914
88.94,890,2951
89.50,892,2968
90.55,892,3004
91.59,892,3040
91.97,893,3051
93.02,893,3087
94.07,893,3122
95.10,893,3158
96.14,893,3194
97.19,893,3230
97.30,897,3232
98.36,897,3270
99.21,898,3298
