time,cov,total_execs
0.68,673,1
0.74,674,2
0.86,1292,6
0.93,1293,7
0.99,1303,8
1.05,1310,9
1.10,1316,10
1.16,1805,11
1.22,1834,12
1.27,1835,13
1.34,1836,14
1.43,1839,16
1.50,1841,17
1.67,1842,21
1.75,1845,23
1.87,2508,26
2.00,2509,30
2.18,2587,36
2.26,2597,37
2.33,2635,38
2.40,2671,39
2.57,2672,43
2.84,2676,51
3.09,2678,58
3.70,2679,80
3.90,2723,86
3.96,2724,87
4.40,2727,101
4.56,2752,106
4.65,2756,108
4.72,2759,109
4.83,2760,111
4.91,2761,112
5.00,2762,113
5.07,2795,114
5.63,2816,136
5.90,2817,145
6.70,2818,172
6.93,2819,179
7.17,2846,186
7.26,2847,188
7.40,2848,192
8.14,2849,217
8.40,2850,225
8.67,2852,233
8.88,2853,237
9.10,2856,239
9.22,2857,240
9.40,2953,240
9.86,2954,249
10.09,3063,251
10.39,3065,263
10.71,3066,273
11.05,3067,280
11.42,3068,287
11.86,3076,301
12.92,3076,335
13.30,3077,346
13.82,3078,364
14.81,3079,398
15.12,3080,408
16.18,3080,444
17.23,3080,480
18.29,3080,513
19.09,3083,528
19.21,3084,531
20.27,3084,568
21.15,3266,598
22.19,3266,637
22.38,3267,642
23.43,3267,678
24.47,3267,710
25.27,3268,741
26.33,3268,780
26.45,3271,782
26.99,3272,797
27.77,3273,823
28.81,3274,861
29.88,3274,896
30.06,3276,900
30.83,3293,921
31.89,3293,958
32.96,3293,993
33.88,3294,1022
34.93,3294,1065
35.12,3295,1071
35.47,3300,1079
35.60,3301,1081
36.16,3304,1099
36.88,3305,1125
37.25,3397,1138
38.29,3397,1164
39.20,3398,1193
39.28,3399,1194
40.34,3399,1232
41.38,3399,1272
42.43,3399,1309
43.49,3399,1343
44.54,3399,1376
44.94,3400,1387
45.77,3401,1418
46.30,3410,1433
46.43,3416,1436
47.09,3419,1458
48.14,3419,1495
49.19,3419,1518
50.23,3419,1555
50.52,3420,1564
51.58,3420,1602
52.46,3421,1634
52.55,3422,1636
53.60,3422,1675
54.64,3422,1712
55.70,3422,1747
56.75,3422,1784
57.29,3461,1799
58.34,3461,1827
59.38,3461,1865
60.44,3461,1890
61.47,3461,1929
62.54,3461,1966
63.58,3461,2005
64.63,3461,2039
65.68,3461,2079
66.73,3461,2115
67.79,3461,2139
68.52,3462,2165
69.23,3466,2190
69.75,3470,2203
70.36,3471,2224
71.39,3471,2242
71.50,3472,2244
71.69,3487,2244
72.74,3487,2282
72.96,3488,2288
73.09,3512,2291
73.32,3513,2292
74.17,3515,2307
75.21,3515,2343
75.79,3517,2363
76.25,3521,2376
77.32,3521,2411
78.36,3521,2442
79.41,3521,2478
79.91,3556,2494
80.16,3557,2502
80.27,3558,2504
80.42,3562,2508
80.55,3566,2510
80.72,3572,2514
81.76,3572,2548
82.81,3572,2587
83.85,3573,2627
84.13,3749,2631
85.19,3749,2667
85.32,3751,2670
86.12,3752,2697
87.17,3752,2735
87.39,3755,2743
88.00,3758,2759
88.15,3759,2763
89.19,3759,2791
89.50,3760,2796
90.56,3760,2833
90.79,3761,2840
91.29,3775,2857
91.78,3777,2868
92.81,3777,2906
93.08,3778,2914
94.12,3778,2952
94.97,3779,2980
95.95,3780,3015
97.01,3780,3053
98.05,3780,3086
99.09,3780,3119
99.70,3781,3136
